# 국세청 업종코드(6자리) → 우리 소비 중분류 대조표
#
# **KSIC 가 아니다.** 국세청 업종코드는 구 분류 세대를 쓴다(소매 52xxxx · 음식 55xxxx).
# KSIC-10(소매 47xx · 음식 56xx)과 번호가 겹치지 않으므로 섞어 쓰면 안 된다.
# 원천: reference/업종코드-국세청-2025.csv (국세청 2025년 귀속 업종코드, 1,542개)
#
# **여기 없는 코드는 전부 '카테고리없음'이다.** 1,542개 중 소비로 결제될 수 있는 것만 적는다 —
# 제조·도매·B2B 서비스는 개인 카드로 결제될 일이 사실상 없고, 억지로 연결하면 그 오분류를
# 아무도 눈치채지 못한다. 빠진 것은 가맹점명으로 LLM 이 받는다(§F).
#
# 왜 6자리인가: 4자리로는 화장품과 의약품이 한 코드(KSIC 4781)에 묶여 올리브영이 '의료'가 됐다.
# 국세청 6자리는 523131(화장품) / 523111(의약품) 으로 가른다.
#
# 주의 — 724000 은 OTT(넷플릭스)와 '데이터베이스 및 온라인 정보 제공업'(일부 PG 가 이 업종으로
# 등록)이 **한 코드에 섞여** 있다. 업종코드로는 못 가르므로 취미/여가로 두고, PG 는
# pg-사업자번호.tsv 로 따로 막는다.
#
# ── 4번째 칸: 카드혜택 축 (2026-08-10 신설) ──
#
# 우리 중분류(2번째 칸)는 **소비분석용**이라 카드 혜택이 걸리는 단위와 다르다 —
# 교통/자동차 하나에 주유(505001)·시내버스(602103)·택시(602201)가 함께 들어 있는데,
# 카드는 이 셋을 전부 다르게 취급한다(주유 리터당 할인 / 대중교통 10% / 택시 별도).
# 그래서 **한 파일에서 두 축이 나간다** — 소비분석은 중분류를, 카드추천은 이 칸을 읽는다.
#
# 축의 정본은 카드 검색 서비스가 실제로 쓰는 분류를 따랐다(뱅크샐러드 카드 혜택 필터).
# 우리가 새로 지으면 카드사 공시의 묶음과 어긋나서 매칭이 안 된다.
#
# **'혜택축없음'은 "소비가 아니다"가 아니다.** 그 업종에 걸리는 카드 혜택 축이 없다는 뜻이고,
# 카드로 결제됐으면 **전월 실적에는 그대로 들어간다.** 실적 제외는 카드사가 정하는 별개 목록이다
# (공과금·아파트관리비·상품권·대중교통 등 — 카드마다 다르다).
#
# 업종코드로 못 가르는 축이 둘 있다.
#   · 배달      배달의민족이 통신판매업으로 등록돼 '쇼핑'이 된다 → 브랜드로만 풀린다
#   · 간편결제   결제수단이라 업종이 아니다 → 표시만 하고 계산에서 뺀다
# 그래서 카드추천의 판정은 **브랜드가 1순위, 이 칸이 2순위**다.
#
# 업종코드	중분류	국세청 세세분류(사람이 읽는 근거)	카드혜택 축

# ── 정보통신업 ──
602201	교통/자동차	택시 운송업	택시
602203	교통/자동차	택시 운송업	택시
602204	교통/자동차	시내버스 운송업, 시외버스 운송업	대중교통
602205	교통/자동차	전세버스 운송업	혜택축없음
602206	교통/자동차	택시 운송업	택시
602209	교통/자동차	기타 부정기 여객 육상 운송업	혜택축없음
602306	교통/자동차	특수 여객 자동차 운송업	혜택축없음
611001	교통/자동차	내항 여객 운송업	여행/항공
611002	교통/자동차	외항 화물 운송업	혜택축없음
611003	교통/자동차	내항 화물 운송업	혜택축없음
611004	교통/자동차	기타 해상 운송업	여행/항공
611005	교통/자동차	외항 여객 운송업	여행/항공
612000	교통/자동차	기타 내륙 수상 여객 및 화물 운송업	여행/항공
612001	교통/자동차	항만 내 여객 운송업	여행/항공
612002	교통/자동차	기타 내륙 수상 여객 및 화물 운송업	여행/항공
621000	교통/자동차	항공 여객 운송업	여행/항공

# ── 사업시설 관리, 사업지원 및 임대 서비스업 ──
630304	교통/자동차	자동차 임대업(렌트카)	공과금/렌탈

# ── 운수 및 창고업 ──
630311	교통/자동차	도로 및 관련시설 운영업	대중교통

# ── 사업시설 관리, 사업지원 및 임대 서비스업 ──
630600	여행/숙박	여행사업	여행/항공
630601	여행/숙박	기타 여행 보조 및 예약 서비스업	여행/항공

# ── 운수 및 창고업 ──
630701	교통/자동차	시내버스 운송업, 시외버스 운송업, 택시 운송업	택시
630901	생활	택배업	혜택축없음
630904	생활	늘찬 배달업	혜택축없음

# ── 정보통신업 ──
641200	주거/통신	공영 우편업	공과금/렌탈

# ── 운수 및 창고업 ──
641201	생활	택배업	혜택축없음

# ── 정보통신업 ──
642001	주거/통신	무선 및 위성 통신업	통신
642002	주거/통신	통신 재판매업	통신
642003	주거/통신	그 외 기타 전기 통신업	통신
642005	주거/통신	유선 통신업	통신

# ── 금융 및 보험업 ──
# 카드사·여신업 수수료가 여기로 온다. 실사용자 명세서에 '01월카드사용알림서비스이용료 200원',
# '체크카드발급수수료 1,000원' 같은 결제가 있는데, 이 코드들이 없으면 그게 전부 카테고리없음이
# 되어 LLM 에게 넘어간다 — 카드 수수료는 물어볼 것도 없이 금융이다(2026-08-07).
# **자산 이동은 여기 없다.** 이체·출금은 애초에 카드 결제로 들어오지 않는다.
659206	금융/보험	신용카드 및 할부 금융업	혜택축없음
659900	금융/보험	기타 금융 투자업	혜택축없음
660100	금융/보험	생명보험업	혜택축없음
660101	금융/보험	재보험업	혜택축없음
660301	금융/보험	손해보험업	혜택축없음
660302	금융/보험	손해보험업	혜택축없음
660303	금융/보험	손해보험업	혜택축없음
660304	금융/보험	보증보험업	혜택축없음
660307	금융/보험	개인 공제업	혜택축없음
660308	금융/보험	사업 공제업	혜택축없음
672000	금융/보험	보험 대리 및 중개업	혜택축없음
672001	금융/보험	기타 보험 및 연금관련 서비스업	혜택축없음

# ── 부동산업 ──
701101	주거/통신	주거용 건물 임대업	공과금/렌탈
701102	주거/통신	주거용 건물 임대업	공과금/렌탈
701103	주거/통신	주거용 건물 임대업(장기임대공동·단독주택)	공과금/렌탈
701104	주거/통신	주거용 건물 임대업(장기임대다가구주택)	공과금/렌탈
701201	주거/통신	비주거용 건물 임대업(점포, 자기땅)	공과금/렌탈
701202	주거/통신	비주거용 건물 임대업(점포, 타인땅)	공과금/렌탈
701203	주거/통신	비주거용 건물 임대업	공과금/렌탈
701204	주거/통신	비주거용 건물 임대업	공과금/렌탈
701205	주거/통신	비주거용 건물 임대업	공과금/렌탈
701206	주거/통신	비주거용 건물 임대업(공유오피스 임대)	공과금/렌탈
701300	주거/통신	비주거용 건물 임대업	공과금/렌탈
701301	주거/통신	주거용 건물 임대업	공과금/렌탈
701302	주거/통신	비주거용 건물 임대업(공유오피스 전대)	공과금/렌탈
701400	주거/통신	기타 부동산 임대업	공과금/렌탈
701501	주거/통신	비주거용 건물 임대업(자기땅)	공과금/렌탈
701502	주거/통신	비주거용 건물 임대업(타인땅)	공과금/렌탈
701503	주거/통신	기타 부동산 임대업(자기땅)	공과금/렌탈
701504	주거/통신	기타 부동산 임대업(타인땅)	공과금/렌탈

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
701700	생활	화장터 운영, 묘지 분양 및 관리업	혜택축없음

# ── 부동산업 ──
702001	주거/통신	부동산 중개 및 대리업, 부동산 분양 대행업	혜택축없음
702002	주거/통신	부동산 감정 평가업	혜택축없음
702003	주거/통신	비주거용 부동산 관리업	공과금/렌탈
702004	주거/통신	부동산 투자 자문업	혜택축없음
702005	주거/통신	주거용 부동산 관리업	공과금/렌탈
703011	주거/통신	주거용 건물 개발 및 공급업	혜택축없음
703012	주거/통신	주거용 건물 개발 및 공급업	혜택축없음
703014	주거/통신	비주거용 건물 개발 및 공급업	혜택축없음
703015	주거/통신	기타 부동산 개발 및 공급업	혜택축없음
703016	주거/통신	비주거용 건물 개발 및 공급업	혜택축없음
703017	주거/통신	기타 부동산 개발 및 공급업	혜택축없음
703021	주거/통신	비주거용 건물 개발 및 공급업	혜택축없음
703022	주거/통신	비주거용 건물 개발 및 공급업	혜택축없음
703023	주거/통신	비주거용 건물 개발 및 공급업	혜택축없음
703024	주거/통신	비주거용 건물 개발 및 공급업	혜택축없음

# ── 사업시설 관리, 사업지원 및 임대 서비스업 ──
712200	교통/자동차	기타 운송장비 임대업	혜택축없음
713001	생활	그 외 기타 개인 및 가정용품 임대업	공과금/렌탈
713002	취미/여가	스포츠 및 레크리에이션 용품 임대업	스포츠/레저
713004	취미/여가	음반 및 비디오물 임대업	공과금/렌탈
713005	취미/여가	서적 임대업	공과금/렌탈
713006	쇼핑	의류 임대업	쇼핑

# ── 정보통신업 ──
724000	취미/여가	영상물 제공 서비스업, 오디오물 제공 서비스업, 데이터베이스 및 온라인 정보 제공업	디지털구독

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
725000	생활	컴퓨터 및 주변 기기 수리업	혜택축없음

# ── 전문, 과학 및 기술서비스업 ──
741101	생활	변호사업	혜택축없음
741104	생활	변리사업	혜택축없음
741106	생활	기타 법무관련 서비스업(공증인)	혜택축없음
741107	생활	법무사업	혜택축없음
741108	생활	기타 법무관련 서비스업(집행관)	혜택축없음
741109	생활	기타 법무관련 서비스업	혜택축없음
741110	생활	기타 법무관련 서비스업(노무사)	혜택축없음
741114	생활	기타 법무관련 서비스업	혜택축없음
741201	생활	세무사업	혜택축없음
741202	생활	공인회계사업	혜택축없음
741203	생활	세무사업(기장대리), 기타 회계 관련 서비스업	혜택축없음
741204	생활	공인회계사업(기장대리), 기타 회계 관련 서비스업	혜택축없음

# ── 교육서비스업 ──
741402	생활	직원 훈련기관	교육/육아

# ── 전문, 과학 및 기술서비스업 ──
749400	취미/여가	인물 사진 및 행사용 영상 촬영업	혜택축없음

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
749401	생활	그 외 기타 달리 분류되지 않은 개인 서비스업	혜택축없음

# ── 전문, 과학 및 기술서비스업 ──
749402	취미/여가	상업용 사진 촬영업	혜택축없음
749403	취미/여가	사진 처리업	혜택축없음
749902	생활	번역 및 통역 서비스업	혜택축없음

# ── 금융 및 보험업 ──
749904	금융/보험	손해 사정업	혜택축없음

# ── 전문, 과학 및 기술서비스업 ──
749914	생활	인테리어 디자인업	혜택축없음

# ── 운수 및 창고업 ──
749930	교통/자동차	도로 및 관련시설 운영업	대중교통

# ── 교육서비스업 ──
804101	생활	외국인학교	교육/육아
809001	교통/자동차	운전학원	교육/육아
809002	생활	기타 기술 및 직업 훈련학원	교육/육아
809003	건강/피트니스	레크리에이션 교육기관	스포츠/레저
809004	생활	일반 교과학원	교육/육아
809005	생활	일반 교과학원	교육/육아

# ── 예술, 스포츠 및 여가관련 서비스업 ──
809006	취미/여가	그 외 기타 스포츠시설 운영업	스포츠/레저

# ── 교육서비스업 ──
809007	생활	일반 교과학원, 음악학원, 미술학원, 기타 예술학원, 외국어학원	교육/육아
809009	생활	음악학원	교육/육아
809010	생활	기타 기술 및 직업 훈련학원	교육/육아
809011	교통/자동차	운전학원	교육/육아
809012	생활	일반 교과학원	교육/육아
809013	생활	컴퓨터 학원	교육/육아
809014	건강/피트니스	태권도 및 무술 교육기관	스포츠/레저
809015	건강/피트니스	기타 스포츠 교육기관	스포츠/레저
809016	생활	온라인 교육학원	교육/육아
809017	생활	외국어학원	교육/육아
809018	생활	기타 교습학원	교육/육아

# ── 예술, 스포츠 및 여가관련 서비스업 ──
809019	취미/여가	기원 운영업	영화/문화

# ── 교육서비스업 ──
809020	생활	미술학원	교육/육아
809021	생활	기타 예술학원	교육/육아
809022	생활	그 외 기타 분류 안된 교육기관	교육/육아

# ── 보건업 및 사회복지 서비스업 ──
851101	의료	요양병원	병원/약국
851102	의료	치과병원	병원/약국
851103	의료	한방병원	병원/약국
851113	의료	종합병원	병원/약국
851114	의료	일반병원	병원/약국
851201	의료	일반의원	병원/약국
851202	의료	일반의원	병원/약국
851203	의료	일반의원	병원/약국
851204	의료	일반의원	병원/약국
851205	의료	일반의원	병원/약국
851206	의료	일반의원	병원/약국
851207	의료	일반의원	병원/약국
851208	의료	방사선 진단 및 병리 검사 의원	병원/약국
851209	의료	일반의원	병원/약국
851211	의료	치과의원	병원/약국
851212	의료	한의원	병원/약국
851219	의료	일반의원	병원/약국
851901	의료	그 외 기타 보건업	병원/약국
851902	의료	유사 의료업	병원/약국
851903	의료	유사 의료업	병원/약국
851904	의료	유사 의료업	병원/약국
851905	의료	방사선 진단 및 병리 검사 의원	병원/약국
851906	의료	그 외 기타 보건업	병원/약국
851907	의료	그 외 기타 보건업	병원/약국
851908	의료	유사 의료업	병원/약국
851909	의료	방사선 진단 및 병리 검사 의원	병원/약국
851911	의료	앰뷸런스 서비스업	병원/약국
851912	의료	유사 의료업	병원/약국

# ── 전문, 과학 및 기술서비스업 ──
852000	생활	수의업	애완

# ── 정보통신업 ──
921100	취미/여가	영화, 비디오물 및 방송 프로그램 배급업	혜택축없음
921200	취미/여가	영화관 운영업	영화/문화
921301	취미/여가	라디오 방송업	혜택축없음
921302	취미/여가	지상파 방송업	혜택축없음
921303	취미/여가	유선 방송업	디지털구독
921304	취미/여가	방송 프로그램 제작업	혜택축없음
921305	취미/여가	위성 및 기타 방송업	디지털구독
921306	취미/여가	프로그램 공급업	디지털구독

# ── 예술, 스포츠 및 여가관련 서비스업 ──
921401	취미/여가	공연 기획업	영화/문화
921402	취미/여가	무용 및 음악단체	영화/문화
921403	취미/여가	연극단체	영화/문화

# ── 부동산업 ──
921404	주거/통신	비주거용 건물 임대업	공과금/렌탈

# ── 예술, 스포츠 및 여가관련 서비스업 ──
921405	취미/여가	그 외 기타 창작 및 예술관련 서비스업	영화/문화
921406	취미/여가	그 외 기타 창작 및 예술관련 서비스업	영화/문화
921407	취미/여가	기타 공연단체	영화/문화

# ── 정보통신업 ──
921501	취미/여가	광고 영화 및 비디오물 제작업	혜택축없음
921502	취미/여가	일반 영화 및 비디오물 제작업	혜택축없음
921503	취미/여가	영화, 비디오물 및 방송 프로그램 제작 관련 서비스업	혜택축없음
921504	취미/여가	애니메이션 영화 및 비디오물 제작업	혜택축없음
921505	취미/여가	미디어콘텐츠창작업	혜택축없음

# ── 예술, 스포츠 및 여가관련 서비스업 ──
921901	취미/여가	공연시설 운영업	영화/문화

# ── 교육서비스업 ──
921902	건강/피트니스	레크리에이션 교육기관	스포츠/레저

# ── 예술, 스포츠 및 여가관련 서비스업 ──
921903	취미/여가	유원지 및 테마파크 운영업	영화/문화
921904	취미/여가	무도장 운영업	영화/문화

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
922101	생활	그 외 기타 개인 및 가정용품 수리업	혜택축없음
922104	생활	가전제품 수리업	혜택축없음
922105	생활	의복 및 기타 가정용 직물제품 수리업	혜택축없음
922107	생활	통신장비 수리업	혜택축없음
922108	생활	가죽, 가방 및 신발 수리업	혜택축없음
922109	생활	시계, 귀금속 및 악기 수리업	혜택축없음
922201	교통/자동차	자동차 종합 수리업	혜택축없음
922202	교통/자동차	자동차 전문 수리업	혜택축없음
922203	교통/자동차	자동차 세차업	혜택축없음
922204	교통/자동차	모터사이클 수리업	혜택축없음

# ── 예술, 스포츠 및 여가관련 서비스업 ──
923100	취미/여가	독서실 운영업	영화/문화
923101	취미/여가	도서관 및 기록 보존소 운영업	영화/문화
923102	취미/여가	독서실 운영업	영화/문화
923200	취미/여가	박물관 운영업	영화/문화
923201	취미/여가	사적지 관리 운영업	영화/문화
923300	취미/여가	식물원 및 동물원 운영업	영화/문화
923301	취미/여가	기타 유사 여가관련 서비스업	영화/문화
924101	취미/여가	그 외 기타 스포츠 서비스업	스포츠/레저
924102	취미/여가	그 외 기타 스포츠 서비스업	스포츠/레저
924103	취미/여가	스포츠 클럽 운영업	스포츠/레저
924200	취미/여가	실내 경기장 운영업	스포츠/레저
924201	취미/여가	실외 경기장 운영업	스포츠/레저
924202	취미/여가	경주장 및 동물 경기장 운영업	스포츠/레저
924302	건강/피트니스	볼링장 운영업	스포츠/레저
924303	건강/피트니스	골프장 운영업	스포츠/레저
924304	취미/여가	스키장 운영업	스포츠/레저
924305	건강/피트니스	체력 단련시설 운영업	스포츠/레저
924306	취미/여가	그 외 기타 스포츠시설 운영업	스포츠/레저
924307	건강/피트니스	골프 연습장 운영업	스포츠/레저
924308	건강/피트니스	골프 연습장 운영업	스포츠/레저
924309	취미/여가	당구장 운영업	스포츠/레저
924310	취미/여가	그 외 기타 스포츠시설 운영업	스포츠/레저
924311	건강/피트니스	수영장 운영업	스포츠/레저
924312	취미/여가	그 외 기타 스포츠시설 운영업	스포츠/레저
924313	건강/피트니스	종합 스포츠시설 운영업	스포츠/레저
924314	취미/여가	그 외 기타 스포츠시설 운영업	스포츠/레저

# ── 정보통신업 ──
924901	취미/여가	녹음시설 운영업	디지털구독

# ── 예술, 스포츠 및 여가관련 서비스업 ──
924902	취미/여가	기타 오락장 운영업	영화/문화
924903	취미/여가	노래 연습장 운영업	영화/문화
924904	취미/여가	기타 오락장 운영업	영화/문화
924905	취미/여가	자연공원 운영업	영화/문화
924906	취미/여가	복권 발행 및 판매업	혜택축없음
924907	취미/여가	전자 게임장 운영업	영화/문화
924908	취미/여가	전자 게임장 운영업	영화/문화
924909	취미/여가	컴퓨터 게임방 운영업	영화/문화

# ── 정보통신업 ──
924910	취미/여가	비디오물 감상실 운영업	영화/문화

# ── 예술, 스포츠 및 여가관련 서비스업 ──
924911	취미/여가	그 외 기타 분류 안된 오락관련 서비스업	영화/문화
924912	취미/여가	전자 게임장 운영업	영화/문화
924913	취미/여가	기타 오락장 운영업	영화/문화
924914	취미/여가	낚시장 운영업	스포츠/레저
924915	취미/여가	기타 수상오락 서비스업	스포츠/레저
924916	취미/여가	체육 공원 및 유사 공원 운영업	영화/문화
924917	취미/여가	카지노 운영업, 기타 사행시설 관리 및 운영업	혜택축없음

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
930100	생활	가정용 세탁업	혜택축없음
930101	생활	산업용 세탁업	혜택축없음
930102	생활	세탁물 공급업	혜택축없음
930201	미용	이용업	뷰티
930203	미용	두발 미용업	뷰티
930205	미용	피부 미용업	뷰티
930207	미용	기타 미용업	뷰티
930208	생활	마사지업	뷰티
930209	생활	체형 등 기타 신체 관리 서비스업	뷰티
930301	생활	장례식장 및 장의관련 서비스업	혜택축없음
930302	생활	화장터 운영, 묘지 분양 및 관리업	혜택축없음
930901	생활	예식장업	혜택축없음
930902	생활	욕탕업	뷰티

# ── 사업시설 관리, 사업지원 및 임대 서비스업 ──
930903	쇼핑	의류 임대업	쇼핑

# ── 전문, 과학 및 기술서비스업 ──
930904	취미/여가	인물 사진 및 행사용 영상 촬영업	혜택축없음

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
930908	생활	그 외 기타 달리 분류되지 않은 개인 서비스업	혜택축없음
930909	생활	점술 및 유사 서비스업	혜택축없음
930911	생활	그 외 기타 달리 분류되지 않은 개인 서비스업	혜택축없음
930912	생활	결혼 상담 및 준비 서비스업	혜택축없음
930913	생활	개인 간병 및 유사 서비스업	혜택축없음

# ── 보건업 및 사회복지 서비스업 ──
930914	의료	노인 양로 복지시설 운영업	병원/약국

# ── 교육서비스업 ──
930915	생활	기타 교육지원 서비스업	교육/육아

# ── 사업시설 관리, 사업지원 및 임대 서비스업 ──
930916	생활	탐정 및 조사 서비스업	혜택축없음

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
930919	생활	반려동물장묘 및 보호 서비스업	애완

# ── 교육서비스업 ──
930921	생활	교육관련 자문 및 평가업	교육/육아

# ── 협회 및 단체, 수리 및 기타 개인서비스업 ──
930925	생활	그 외 기타 달리 분류되지 않은 개인 서비스업	혜택축없음
940100	생활	작가	혜택축없음
940200	생활	화가 및 관련예술가	혜택축없음
940301	생활	작곡가	혜택축없음
940302	생활	배우,탤런트등	혜택축없음
940303	생활	모델	혜택축없음
940304	생활	가수	혜택축없음
940305	생활	성악가 등	혜택축없음
940306	생활	1인미디어콘텐츠창작자	혜택축없음
940500	생활	연예보조서비스	혜택축없음
940600	생활	자문,감독,지도료,고문료,교정료	혜택축없음
940901	생활	바둑기사	혜택축없음
940902	생활	꽃꽂이교사	혜택축없음
940903	생활	학원강사,강사,과외교습자,재단사	혜택축없음
940904	생활	직업운동가	혜택축없음
940905	생활	유흥접객원 및 댄서	혜택축없음
940906	생활	보험설계사	혜택축없음
940907	생활	음료품배달원	혜택축없음
940908	생활	서적방문판매원,학습지방문판매원,화장품방문판매원,정수기방문판매원,자동차방문판매원,일반(기타)방문판매원	뷰티
940909	생활	기타자영업	혜택축없음
940910	생활	다단계판매원의후원수당	혜택축없음
940911	생활	기타모집수당,채권회수수당	혜택축없음
940912	생활	개인간병인	혜택축없음
940913	생활	대리운전기사	혜택축없음
940914	생활	골프장캐디	혜택축없음
940915	생활	목욕관리사	혜택축없음
940916	생활	행사도우미	혜택축없음
940917	생활	심부름용역원	혜택축없음
940918	생활	퀵서비스배달원	혜택축없음
940919	생활	기타물품운반원	혜택축없음
940920	생활	학습지 방문강사	혜택축없음
940921	생활	교육교구 방문강사	혜택축없음
940922	생활	대여제품 방문점검원	혜택축없음
940923	생활	대출모집인	혜택축없음
940924	생활	신용카드회원 모집인	혜택축없음
940925	생활	방과후강사	혜택축없음
940926	생활	소프트웨어프리랜서	혜택축없음
940927	생활	관광통역안내사	혜택축없음
940928	생활	어린이통학버스기사	혜택축없음
940929	생활	중고자동차판매원	혜택축없음
950000	생활	그 외 기타 달리 분류되지 않은 개인 서비스업	혜택축없음

# ── 보건업 및 사회복지 서비스업 ──
950002	의료	보육시설 운영업	교육/육아
